STN,YYYYMMDD,TG,TN,TX,T10N,SQ,SP,Q,DR,UG,UX,UN
260,2011,10.93,6.7,15.01,49.28,48.98,38.57,1011.9,18.75,80.94,95.81,63.54
260,2012,10.37,6.22,14.26,41.96,43.99,34.24,972.46,19.13,81.31,95.94,63.3
260,2013,9.85,5.65,13.7,36.49,44.59,34.8,989.68,18.45,79.58,94.06,62.31
260,2014,11.71,7.56,15.7,55.81,48.95,38.27,1026.4,16.48,80.99,95.34,63.25
260,2015,10.9,6.48,14.91,46.64,50.86,39.29,1058.39,20.47,79.53,95.05,61.81
260,2016,10.7,6.46,14.7,47.72,49.51,38.94,1022.35,17.86,81.42,95.59,63.46
260,2017,10.97,6.67,14.92,50.16,45.64,35.01,1005.99,19.15,80.49,95.74,63.02
260,2018,11.4,6.69,15.76,50.36,56.02,43.04,1121.52,13.35,77.49,94.03,58.61
260,2019,11.19,6.68,15.38,48.82,52.82,40.91,1083.65,17.26,78.49,94.47,60.36
